"","ID","Bacino","name","Volume_Teorico","Anno","Mese","volume","PP","TM","Area_mq","PP_Perc"
"37",17,"Coghinas","BIDIGHINZU",10.9,2015,"Jan",2.33,367.099809015654,280.056940882693,51058399.9999997,7.18980244221629e-06
"38",15,"Coghinas","CASTELDORIA",2.9,2015,"Jan",1.66,12468.0212040759,280.1078683833,2392169600.00004,5.21201389904616e-06
"39",18,"Coghinas","CUGA",20.4,2015,"Jan",8.26,333.951126681571,281.017595141263,59335200.0000003,5.62821270816597e-06
"40",19,"Coghinas","M. LEONE ROCCADORIA ( TEMO )",77.58,2015,"Jan",36.76,1031.64976755353,280.715189667947,135704400.000001,7.60218362524372e-06
"41",13,"Coghinas","MONTE LERNO ( PATTADA )",34.45,2015,"Jan",13.8,1208.90524338893,277.976380454791,158796399.999993,7.61292600706935e-06
"42",14,"Coghinas","MUZZONE ( COGHINAS )",221.64,2015,"Jan",97.95,11187.8830593216,279.85283649555,1900508800.0001,5.8867830863614e-06
"43",17,"Coghinas","BIDIGHINZU",10.9,2016,"Jan",2.6,305.729760741051,281.730535900977,51058399.9999997,5.98784452197979e-06
"44",15,"Coghinas","CASTELDORIA",2.9,2016,"Jan",2.17,15508.0347891723,281.731804142401,2392169600.00004,6.48283248360486e-06
"45",18,"Coghinas","CUGA",20.4,2016,"Jan",11.31,349.100569727252,282.623681376846,59335200.0000003,5.8835323674185e-06
"46",19,"Coghinas","M. LEONE ROCCADORIA ( TEMO )",77.58,2016,"Jan",27.78,828.199170767017,282.358482248829,135704400.000001,6.10296475845302e-06
"47",13,"Coghinas","MONTE LERNO ( PATTADA )",34.45,2016,"Jan",10.45,1263.77155946875,279.742134367693,158796399.999993,7.95843960863602e-06
"48",14,"Coghinas","MUZZONE ( COGHINAS )",221.64,2016,"Jan",113.41,12352.9768313952,281.513400674986,1900508800.0001,6.49982616833689e-06
"49",17,"Coghinas","BIDIGHINZU",10.9,2017,"Jan",1.04,377.077637738752,278.006003238309,51058399.9999997,7.3852223676957e-06
"50",15,"Coghinas","CASTELDORIA",2.9,2017,"Jan",1.92,53095.8599551635,278.066014658211,2392169600.00004,2.21956921261614e-05
"51",18,"Coghinas","CUGA",20.4,2017,"Jan",8.51,435.119172469402,279.084667713806,59335200.0000003,7.3332384902958e-06
"52",19,"Coghinas","M. LEONE ROCCADORIA ( TEMO )",77.58,2017,"Jan",21.77,907.243041411298,278.885150215269,135704400.000001,6.6854357074e-06
"53",13,"Coghinas","MONTE LERNO ( PATTADA )",34.45,2017,"Jan",31.7,7001.69553792244,275.930517413555,158796399.999993,4.40922812980821e-05
"54",14,"Coghinas","MUZZONE ( COGHINAS )",221.64,2017,"Jan",214.73,43863.5622902628,277.810296156878,1900508800.0001,2.30799048603513e-05
"55",17,"Coghinas","BIDIGHINZU",10.9,2018,"Jan",1.6,195.502399096293,282.091735146635,51058399.9999997,3.82899579885571e-06
"56",15,"Coghinas","CASTELDORIA",2.9,2018,"Jan",1.86,10017.4363664618,282.142191859646,2392169600.00004,4.18759454449284e-06
"57",18,"Coghinas","CUGA",20.4,2018,"Jan",2.15,280.794993838075,283.066404719704,59335200.0000003,4.73235101319408e-06
"58",19,"Coghinas","M. LEONE ROCCADORIA ( TEMO )",77.58,2018,"Jan",13.34,451.307378463738,282.849864833507,135704400.000001,3.32566503712286e-06
"59",13,"Coghinas","MONTE LERNO ( PATTADA )",34.45,2018,"Jan",10.86,952.267771472112,279.974309147511,158796399.999993,5.9967843822162e-06
"60",14,"Coghinas","MUZZONE ( COGHINAS )",221.64,2018,"Jan",127.2,8080.43611686432,281.878063211735,1900508800.0001,4.25172254759562e-06
"61",17,"Coghinas","BIDIGHINZU",10.9,2019,"Jan",8.5,737.600380678998,278.151190140427,51058399.9999997,1.44462102353188e-05
"62",15,"Coghinas","CASTELDORIA",2.9,2019,"Jan",2.63,37060.6359628745,278.1351778102,2392169600.00004,1.54924784442014e-05
"63",18,"Coghinas","CUGA",20.4,2019,"Jan",18.31,884.354947969145,279.244134749924,59335200.0000003,1.49043897714871e-05
"64",19,"Coghinas","M. LEONE ROCCADORIA ( TEMO )",77.58,2019,"Jan",62.29,1825.82528699556,278.897540292038,135704400.000001,1.34544295320973e-05
"65",13,"Coghinas","MONTE LERNO ( PATTADA )",34.45,2019,"Jan",38.07,3240.70387158788,276.169798139098,158796399.999993,2.04079177587655e-05
"66",14,"Coghinas","MUZZONE ( COGHINAS )",221.64,2019,"Jan",227.38,30238.6305816897,277.870399056101,1900508800.0001,1.59108079803093e-05
"67",17,"Coghinas","BIDIGHINZU",10.9,2020,"Jan",10.05,114.742443136789,281.161033261207,51058399.9999997,2.24727847203966e-06
"68",15,"Coghinas","CASTELDORIA",2.9,2020,"Jan",2.37,7077.58204680134,281.230152159721,2392169600.00004,2.95864559385807e-06
"69",18,"Coghinas","CUGA",20.4,2020,"Jan",20.89,120.17558741013,282.191329993918,59335200.0000003,2.02536752905745e-06
"70",19,"Coghinas","M. LEONE ROCCADORIA ( TEMO )",77.58,2020,"Jan",76.97,174.80636557402,281.729363977071,135704400.000001,1.28814073511263e-06
"71",13,"Coghinas","MONTE LERNO ( PATTADA )",34.45,2020,"Jan",31.17,893.975476185672,279.422603835886,158796399.999993,5.62969611518721e-06
"72",14,"Coghinas","MUZZONE ( COGHINAS )",221.64,2020,"Jan",156.96,6196.6138860954,280.985645981556,1900508800.0001,3.26050260124819e-06
"73",17,"Coghinas","BIDIGHINZU",10.9,2021,"Jan",10.9,1261.47177714484,279.388125864665,51058399.9999997,2.47064494215418e-05
"74",15,"Coghinas","CASTELDORIA",2.9,2021,"Jan",1.29,53529.1545911692,279.403594987074,2392169600.00004,2.23768225259481e-05
"75",18,"Coghinas","CUGA",20.4,2021,"Jan",21.27,1711.38912996772,280.337606422166,59335200.0000003,2.88427296102096e-05
"76",19,"Coghinas","M. LEONE ROCCADORIA ( TEMO )",77.58,2021,"Jan",77.72,3345.89386570591,280.269681337355,135704400.000001,2.46557507767315e-05
"77",13,"Coghinas","MONTE LERNO ( PATTADA )",34.45,2021,"Jan",33.38,4496.87148692241,277.34475295215,158796399.999993,2.83184725026677e-05
"78",14,"Coghinas","MUZZONE ( COGHINAS )",221.64,2021,"Jan",181.73,44216.1297478971,279.187385499306,1900508800.0001,2.32654170019601e-05
"79",17,"Coghinas","BIDIGHINZU",10.9,2009,"Feb",10.7,220.021966410484,278.718281691415,51058399.9999997,4.30922172278186e-06
"80",15,"Coghinas","CASTELDORIA",2.9,2009,"Feb",1.6,9587.58590201173,278.784441849642,2392169600.00004,4.00790391367383e-06
"81",18,"Coghinas","CUGA",20.4,2009,"Feb",25.77,296.211766751636,279.697723269899,59335200.0000003,4.99217609027414e-06
"82",19,"Coghinas","M. LEONE ROCCADORIA ( TEMO )",77.58,2009,"Feb",59.46,435.978901485435,279.440042162116,135704400.000001,3.21271013677841e-06
"83",13,"Coghinas","MONTE LERNO ( PATTADA )",34.45,2009,"Feb",70.33,796.007836946007,276.740433176875,158796399.999993,5.01275744882154e-06
"84",14,"Coghinas","MUZZONE ( COGHINAS )",221.64,2009,"Feb",214.24,7731.14282494872,278.547057279151,1900508800.0001,4.06793318975861e-06
"85",17,"Coghinas","BIDIGHINZU",10.9,2010,"Feb",10.85,543.672327802706,279.855220980871,51058399.9999997,1.06480486619774e-05
"86",15,"Coghinas","CASTELDORIA",2.9,2010,"Feb",1.51,20998.6647038557,280.07364091419,2392169600.00004,8.77808358732397e-06
"87",18,"Coghinas","CUGA",20.4,2010,"Feb",23.24,741.351921345414,280.783173152379,59335200.0000003,1.24943022244032e-05
"88",19,"Coghinas","M. LEONE ROCCADORIA ( TEMO )",77.58,2010,"Feb",64.23,1701.22152632392,280.609611965361,135704400.000001,1.25362296751167e-05
"89",13,"Coghinas","MONTE LERNO ( PATTADA )",34.45,2010,"Feb",68.62,1791.78941000452,277.926719957272,158796399.999993,1.12835644259228e-05
"90",14,"Coghinas","MUZZONE ( COGHINAS )",221.64,2010,"Feb",210.22,16725.2271636959,279.827663540856,1900508800.0001,8.80039448577929e-06
"91",17,"Coghinas","BIDIGHINZU",10.9,2011,"Feb",10.9,641.051944540025,279.537966433026,51058399.9999997,1.25552689575081e-05
"92",15,"Coghinas","CASTELDORIA",2.9,2011,"Feb",1.65,36884.3030775635,279.603210858633,2392169600.00004,1.54187659092244e-05
"93",18,"Coghinas","CUGA",20.4,2011,"Feb",25.64,431.800920580282,280.489623981518,59335200.0000003,7.27731465606048e-06
"94",19,"Coghinas","M. LEONE ROCCADORIA ( TEMO )",77.58,2011,"Feb",75.19,1043.20916726277,280.194520548587,135704400.000001,7.68736435416069e-06
"95",13,"Coghinas","MONTE LERNO ( PATTADA )",34.45,2011,"Feb",70.54,3821.80946683598,278.090338876237,158796399.999993,2.40673558521236e-05
"96",14,"Coghinas","MUZZONE ( COGHINAS )",221.64,2011,"Feb",215.5,31796.1795662252,279.428105483042,1900508800.0001,1.6730351138718e-05
"97",17,"Coghinas","BIDIGHINZU",10.9,2012,"Feb",7.76,445.208102170602,276.087469346496,51058399.9999997,8.71958585013641e-06
"98",15,"Coghinas","CASTELDORIA",2.9,2012,"Feb",1.42,23720.4066798758,276.143411003647,2392169600.00004,9.91585491257618e-06
"99",18,"Coghinas","CUGA",20.4,2012,"Feb",9.49,412.180670505614,277.179993083897,59335200.0000003,6.94664668705274e-06
"100",19,"Coghinas","M. LEONE ROCCADORIA ( TEMO )",77.58,2012,"Feb",60.65,889.775474927431,276.985738511427,135704400.000001,6.55671794670936e-06
"101",13,"Coghinas","MONTE LERNO ( PATTADA )",34.45,2012,"Feb",50.64,2172.06870276303,273.781382015631,158796399.999993,1.36783245889903e-05
"102",14,"Coghinas","MUZZONE ( COGHINAS )",221.64,2012,"Feb",148.07,19367.8640524663,275.923992435164,1900508800.0001,1.01908836478238e-05
"103",17,"Coghinas","BIDIGHINZU",10.9,2013,"Feb",10.9,837.85548602306,277.914267440069,51058399.9999997,1.64097481711739e-05
"104",15,"Coghinas","CASTELDORIA",2.9,2013,"Feb",3.47,41982.2792131218,277.927756234817,2392169600.00004,1.75498757333598e-05
"105",18,"Coghinas","CUGA",20.4,2013,"Feb",23.62,849.687679624875,279.005366583884,59335200.0000003,1.43201283491902e-05
"106",19,"Coghinas","M. LEONE ROCCADORIA ( TEMO )",77.58,2013,"Feb",72.84,2034.12736046864,278.776083205646,135704400.000001,1.49893987259708e-05
"107",13,"Coghinas","MONTE LERNO ( PATTADA )",34.45,2013,"Feb",51.67,3537.64640632851,275.874536949147,158796399.999993,2.22778753569267e-05
"108",14,"Coghinas","MUZZONE ( COGHINAS )",221.64,2013,"Feb",223.84,33405.2102691944,277.696102516898,1900508800.0001,1.75769826844225e-05
"109",17,"Coghinas","BIDIGHINZU",10.9,2014,"Feb",9.34,652.815791198863,281.596741803487,51058399.9999997,1.27856687870922e-05
"110",15,"Coghinas","CASTELDORIA",2.9,2014,"Feb",2.39,21206.6437220488,281.848903704805,2392169600.00004,8.86502517298457e-06
"111",18,"Coghinas","CUGA",20.4,2014,"Feb",21.9,830.498120938717,282.360032364562,59335200.0000003,1.39967189954481e-05
"112",19,"Coghinas","M. LEONE ROCCADORIA ( TEMO )",77.58,2014,"Feb",63.15,1738.25057058804,282.16291028676,135704400.000001,1.28090951405262e-05
"113",13,"Coghinas","MONTE LERNO ( PATTADA )",34.45,2014,"Feb",39.14,1460.67240259981,279.775253123879,158796399.999993,9.19839746115075e-06
